"Figure 2: Median income has increased during the 10 years leading up to financial year ending 2022",""
"Median and mean real equivalised household disposable income of individuals, UK, 1977 to financial year ending 2022",""
"",""
"Notes","1. Incomes are adjusted for inflation using the consumer prices index including owner-occupiers' housing costs (CPIH) excluding council tax.
2. Estimates of income from FYE 2002 onwards have been adjusted for under-coverage of top earners.
3. 2021/22 represents the financial year ending 2022, (April to March), and similarly for all other years expressed in this format. Estimates prior to FYE 1995 are measured on a calendar year basis.
4. Estimates up to and including financial year ending (FYE) 2017 are sourced from the Living Costs and Food (LCF) survey. Estimates from FYE 2018 onwards are based on the Household Finances Survey, which the LCF is part of.
"
"Unit","£"
"",""
"Year","Mean","Median"
"1977","15246 ","13682 "
"1978","16629 ","15137 "
"1979","17397 ","15722 "
"1980","18049 ","16227 "
"1981","18179 ","15969 "
"1982","17759 ","15722 "
"1983","18227 ","15886 "
"1984","18588 ","16387 "
"1985","19836 ","17107 "
"1986","20653 ","17801 "
"1987","22023 ","18705 "
"1988","23627 ","19877 "
"1989","23929 ","20391 "
"1990","25248 ","20903 "
"1991","25541 ","21523 "
"1992","24642 ","20895 "
"1993","24366 ","20329 "
"1994/95","24861 ","20866 "
"1995/96","24709 ","20926 "
"1996/97","26100 ","22086 "
"1997/98","27278 ","22649 "
"1998/99","27913 ","23126 "
"1999/00","29623 ","24605 "
"2000/01","30341 ","25019 "
"2001/02","32733 ","26613 "
"2002/03","33635 ","27474 "
"2003/04","34037 ","27989 "
"2004/05","35461 ","28769 "
"2005/06","36621 ","29095 "
"2006/07","37397 ","29073 "
"2007/08","38670 ","29511 "
"2008/09","36420 ","29166 "
"2009/10","37689 ","29205 "
"2010/11","36240 ","29165 "
"2011/12","35421 ","28481 "
"2012/13","34735 ","27828 "
"2013/14","36153 ","28544 "
"2014/15","36875 ","29782 "
"2015/16","38078 ","30303 "
"2016/17","37956 ","31121 "
"2017/18","37330 ","30377 "
"2018/19","37724 ","30625 "
"2019/20","39218 ","31883 "
"2020/21","38994 ","32529 "
"2021/22","39328 ","32349 "
